transfer_type,min_transfer_time,from_stop_id,to_stop_id
2,279.0,feed_0_1676,feed_0_4035806
2,267.0,feed_0_1676,feed_0_4035807
2,207.0,feed_0_1676,feed_0_4035808
2,196.0,feed_0_1676,feed_0_4035809
2,105.0,feed_0_1677,feed_0_1678
2,63.0,feed_0_1677,
2,246.0,feed_0_1677,feed_0_3764611
2,270.0,feed_0_1677,feed_0_3764648
2,246.0,feed_0_1677,
2,246.0,feed_0_1677,
2,270.0,feed_0_1677,
2,246.0,feed_0_1677,
2,270.0,feed_0_1677,
2,281.0,feed_0_1677,feed_0_4726957
2,189.0,feed_0_1677,
2,270.0,feed_0_1680,feed_0_3619312
2,247.0,feed_0_1680,feed_0_3619313
2,192.0,feed_0_1681,feed_0_3748053
2,201.0,feed_0_1681,feed_0_3748054
2,205.0,feed_0_1681,feed_0_3764545
2,192.0,feed_0_1681,
2,201.0,feed_0_1681,
2,198.0,feed_0_1681,feed_0_5454890
2,198.0,feed_0_1681,
2,220.0,feed_0_1683,feed_0_3926394
2,196.0,feed_0_1683,feed_0_3926395
2,220.0,feed_0_1683,
2,196.0,feed_0_1683,
2,220.0,feed_0_1683,
2,207.0,feed_0_1684,feed_0_3749702
2,230.0,feed_0_1684,feed_0_3749734
2,230.0,feed_0_1684,
2,207.0,feed_0_1684,
2,230.0,feed_0_1684,
2,207.0,feed_0_1684,
2,230.0,feed_0_1684,
2,207.0,feed_0_1684,
2,230.0,feed_0_1684,
2,244.0,feed_0_1684,feed_0_5018184
2,212.0,feed_0_1685,feed_0_3893490
2,207.0,feed_0_1685,feed_0_4036790
2,182.0,feed_0_1685,feed_0_4036791
2,245.0,feed_0_1686,feed_0_3749686
2,262.0,feed_0_1686,feed_0_3749687
2,288.0,feed_0_1686,feed_0_4016339
2,255.0,feed_0_1686,feed_0_5138029
2,255.0,feed_0_1686,
2,288.0,feed_0_1686,
2,262.0,feed_0_1686,
2,245.0,feed_0_1686,
2,110.0,feed_0_1687,feed_0_1637
2,96.0,feed_0_1687,
2,267.0,feed_0_1687,feed_0_3740321
2,252.0,feed_0_1687,feed_0_3740322
2,251.0,feed_0_1687,feed_0_3740323
2,242.0,feed_0_1687,feed_0_4008855
2,252.0,feed_0_1687,
2,230.0,feed_0_1689,
2,208.0,feed_0_1689,feed_0_3685707
2,230.0,feed_0_1689,
2,208.0,feed_0_1689,
2,230.0,feed_0_1689,
2,208.0,feed_0_1689,
2,258.0,feed_0_1689,feed_0_3685896
2,223.0,feed_0_1689,feed_0_3685897
2,297.0,feed_0_1689,feed_0_3690363
2,324.0,feed_0_1689,feed_0_3690364
2,193.0,feed_0_1689,feed_0_3690365
2,214.0,feed_0_1689,feed_0_3690366
2,296.0,feed_0_1689,
2,297.0,feed_0_1689,
2,324.0,feed_0_1689,
2,193.0,feed_0_1689,
2,214.0,feed_0_1689,
2,296.0,feed_0_1689,
2,296.0,feed_0_1689,
2,214.0,feed_0_1689,
2,324.0,feed_0_1689,
2,296.0,feed_0_1689,
2,214.0,feed_0_1689,
2,324.0,feed_0_1689,
2,279.0,feed_0_1690,
2,215.0,feed_0_1690,
2,215.0,feed_0_1690,
2,215.0,feed_0_1690,
2,185.0,feed_0_1691,feed_0_3749883
2,185.0,feed_0_1691,
2,185.0,feed_0_1691,
2,185.0,feed_0_1691,
2,192.0,feed_0_1692,feed_0_3442430
2,191.0,feed_0_1692,feed_0_3442431
2,191.0,feed_0_1692,
2,192.0,feed_0_1692,
2,230.0,feed_0_1692,feed_0_4036879
2,256.0,feed_0_1692,feed_0_4036880
2,192.0,feed_0_1692,
2,192.0,feed_0_1692,
2,191.0,feed_0_1692,
2,230.0,feed_0_1692,
2,230.0,feed_0_1692,
2,256.0,feed_0_1692,
2,251.0,feed_0_1693,
2,195.0,feed_0_1695,feed_0_4036815
2,195.0,feed_0_1695,
2,201.0,feed_0_1695,feed_0_4284929
2,216.0,feed_0_1695,feed_0_4284930
2,199.0,feed_0_1695,feed_0_4378048
2,221.0,feed_0_1695,
2,189.0,feed_0_1695,feed_0_4378069
2,199.0,feed_0_1695,
2,222.0,feed_0_1695,feed_0_4458791
2,203.0,feed_0_1695,feed_0_4458792
2,213.0,feed_0_1695,feed_0_5161546
2,199.0,feed_0_1695,feed_0_5161547
2,195.0,feed_0_1695,
2,315.0,feed_0_1695,
2,222.0,feed_0_1695,
2,222.0,feed_0_1695,
2,187.0,feed_0_1696,feed_0_4036817
2,261.0,feed_0_1696,feed_0_4378066
2,259.0,feed_0_1696,feed_0_4458789
2,261.0,feed_0_1696,
